STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-16,0,0,0,63,37,45
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-17,0,0,0,64,36,39
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-18,0,0,0,65,32,34
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-19,0,0,0,68,34,38
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-20,0,0,0,72,38,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-21,0,0,0,71,39,48
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-22,0,0,0,71,41,55
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-23,0,0,0,72,36,45
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-24,0,0,0,66,34,38
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-25,0,0,0,66,34,36
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-26,0.3,5.5,0,60,33,42
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-27,0.2,2.5,0,42,26,27
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-28,0.05,0.5,2,42,16,18
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-29,0.45,5.5,1,38,18,26
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-04-30,0,0,4,40,26,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-01,0,0,,54,24,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-02,0.04,0,0,55,32,36
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-03,0.22,0,0,42,33,35
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-04,0.32,3,0,52,30,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-05,0,0,0,64,28,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-06,0,0,0,72,32,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-07,0,0,0,74,40,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-08,0,0,0,75,42,48
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-09,0,0,0,76,38,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-10,0.04,0,0,64,44,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-11,0,0,0,52,38,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-12,0,0,0,52,26,36
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-13,0.18,0,0,55,26,35
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-14,0,0,0,50,31,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-15,0.04,0,0,48,26,32
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-16,0.16,0,0,53,32,34
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-17,0,0,0,58,32,36
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-18,0,0,0,68,34,42
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-19,0,0,0,64,37,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-20,0,0,0,72,33,56
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-21,0,0,0,72,38,68
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-22,0,0,0,78,40,44
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-23,0,0,0,76,44,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-24,0,0,0,66,48,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-25,0,0,0,66,30,40
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-26,0,0,0,66,36,42
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-27,0,0,0,74,36,50
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-28,0,0,0,78,38,46
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-29,0,0,0,73,40,52
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-30,0,0,0,73,39,45
USC00050372,"ASPEN 1 SW, CO US",39.1852,-106.838,2491.7,1989-05-31,0,0,0,70,30,40
